
INFO 	2016-04-06 20:28:04 	[preliminary_checks] 	e6588f786_84fa55d9b found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 20:28:04 	[preliminary_checks] 	data for e6588f786_84fa55d9b will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b
INFO 	2016-04-06 20:30:17 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-06 20:30:18 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-06 20:30:19 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 20:30:20 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 20:30:47 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 20:30:47 	[preliminary_checks] 	step time for completion (seconds) = 165

INFO 	2016-04-06 20:30:50 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 20:30:50 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 20:30:50 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 20:31:08 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 20:31:08 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-06 20:31:10 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 20:31:10 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 20:31:10 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 21:07:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 21:07:58 	[trim_reads_trimmomatic] 	reads after trimming = 97342816
INFO 	2016-04-06 21:08:21 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 21:08:21 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 21:08:21 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 21:08:21 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2231

INFO 	2016-04-06 21:08:28 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 21:08:28 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 21:08:28 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 21:08:28 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 21:08:28 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 21:08:28 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-07 01:03:12 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_84fa55d9b/logs/mm10/e6588f786_84fa55d9b_align_and_merge_paired_end.log
TIME 	2016-04-07 01:04:26 	[align_and_merge] 	step time for completion (seconds) = 14163

INFO 	2016-04-07 01:04:37 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-07 01:21:25 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.756943398884
INFO 	2016-04-07 01:21:25 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.740749404661
INFO 	2016-04-07 01:21:25 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 54064598
INFO 	2016-04-07 01:21:25 	[post_mapping_statistics] 	counts-to-distance slope = -0.995306106419
