
INFO 	2016-04-08 09:56:18 	[preliminary_checks] 	b742f3789_43b4d3493 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 09:56:18 	[preliminary_checks] 	data for b742f3789_43b4d3493 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493
INFO 	2016-04-08 10:01:40 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:01:41 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:01:43 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:01:43 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:01:59 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:01:59 	[preliminary_checks] 	step time for completion (seconds) = 343

INFO 	2016-04-08 10:02:01 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:02:01 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:02:02 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:02:20 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:02:20 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:02:22 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:02:22 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:02:22 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 11:59:17 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 11:59:18 	[trim_reads_trimmomatic] 	reads after trimming = 328295229
INFO 	2016-04-08 11:59:38 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 11:59:38 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 11:59:38 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 11:59:38 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7036

INFO 	2016-04-08 11:59:45 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 11:59:45 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 11:59:45 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 11:59:45 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 11:59:45 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 11:59:45 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:08:55 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/logs/mm10/b742f3789_43b4d3493_align_and_merge_paired_end.log
TIME 	2016-04-09 02:12:39 	[align_and_merge] 	step time for completion (seconds) = 51179

INFO 	2016-04-09 02:12:46 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 03:13:58 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.836575258302
INFO 	2016-04-09 03:13:58 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.831537469587
INFO 	2016-04-09 03:13:58 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 218265124
INFO 	2016-04-09 03:13:58 	[post_mapping_statistics] 	counts-to-distance slope = -1.13855568239
TIME 	2016-04-09 03:14:06 	[post_mapping_statistics] 	step time for completion (seconds) = 3680

INFO 	2016-04-09 03:14:42 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 03:14:42 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_43b4d3493/results/mm10/filtered_reads
