
INFO 	2016-04-06 00:07:56 	[preliminary_checks] 	1317ef052_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 00:07:56 	[preliminary_checks] 	data for 1317ef052_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb
INFO 	2016-04-06 00:14:43 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 00:14:45 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 00:14:46 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 00:14:46 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 00:15:21 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 00:15:21 	[preliminary_checks] 	step time for completion (seconds) = 446

INFO 	2016-04-06 00:15:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 00:15:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 00:15:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 00:15:53 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 00:15:53 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 31

INFO 	2016-04-06 00:15:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 00:15:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 00:15:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 01:48:21 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 01:48:21 	[trim_reads_trimmomatic] 	reads after trimming = 252951040
INFO 	2016-04-06 01:48:51 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 01:48:51 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 01:48:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 01:48:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5577

INFO 	2016-04-06 01:48:57 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 01:48:57 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 01:48:57 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 01:48:57 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 01:48:57 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 01:48:57 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 12:52:35 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_f34e98deb/logs/hg38_mmtv/1317ef052_f34e98deb_align_and_merge_paired_end.log
TIME 	2016-04-06 12:55:35 	[align_and_merge] 	step time for completion (seconds) = 40002

INFO 	2016-04-06 12:55:42 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 13:51:53 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.872588683565
INFO 	2016-04-06 13:51:53 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.805392478323
