
INFO 	2016-04-08 13:18:22 	[preliminary_checks] 	a7c643d27_b491090af found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 13:18:22 	[preliminary_checks] 	data for a7c643d27_b491090af will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af
INFO 	2016-04-08 13:22:56 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 13:22:58 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:22:59 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:22:59 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 13:23:13 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 13:23:13 	[preliminary_checks] 	step time for completion (seconds) = 292

INFO 	2016-04-08 13:23:16 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 13:23:16 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 13:23:16 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 13:23:35 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 13:23:35 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 13:23:37 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 13:23:37 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 13:23:37 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 15:10:00 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 15:10:01 	[trim_reads_trimmomatic] 	reads after trimming = 302427091
INFO 	2016-04-08 15:10:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 15:10:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 15:10:23 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 15:10:24 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6407

INFO 	2016-04-08 15:10:29 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 15:10:29 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 15:10:29 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 15:10:29 	[align_and_merge] 	read length = 76
INFO 	2016-04-08 15:10:30 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 15:10:30 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:51:19 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/logs/mm10/a7c643d27_b491090af_align_and_merge_paired_end.log
TIME 	2016-04-09 02:55:55 	[align_and_merge] 	step time for completion (seconds) = 42330

INFO 	2016-04-09 02:56:36 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 03:52:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.849852889006
INFO 	2016-04-09 03:52:21 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.832862241829
INFO 	2016-04-09 03:52:21 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 199526833
INFO 	2016-04-09 03:52:21 	[post_mapping_statistics] 	counts-to-distance slope = -1.06826498844
TIME 	2016-04-09 03:52:27 	[post_mapping_statistics] 	step time for completion (seconds) = 3351

INFO 	2016-04-09 03:53:00 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 03:53:00 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/results/mm10/filtered_reads
INFO 	2016-04-09 03:53:00 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 03:53:00 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 03:53:00 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 04:21:46 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 04:25:11 	[reads_filtering] 	step time for completion (seconds) = 1962

INFO 	2016-04-09 04:25:14 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 04:25:14 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 04:25:14 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 04:25:14 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 05:03:19 	[post_filtering_statistics] 	step time for completion (seconds) = 2285

INFO 	2016-04-09 05:03:21 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 06:09:38 	[index_contacts] 	step time for completion (seconds) = 3977

INFO 	2016-04-09 06:10:05 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 113 files...
TIME 	2016-04-09 08:35:42 	[map_to_bam] 	step time for completion (seconds) = 8737

INFO 	2016-04-09 08:35:49 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0406/job_scripts/2168483: line 747: 40711 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 18:48:33 	[downstream_bam] 	step time for completion (seconds) = 36764

INFO 	2016-04-09 18:48:35 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 18:48:35 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/fastqs_processed
INFO 	2016-04-09 18:48:35 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_b491090af/mapped_reads
TIME 	2016-04-09 18:48:35 	[clean_up] 	step time for completion (seconds) = 0


