
INFO 	2016-04-05 00:20:26 	[preliminary_checks] 	a1e46328c_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 00:20:26 	[preliminary_checks] 	data for a1e46328c_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf
INFO 	2016-04-05 00:24:07 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 00:24:09 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 00:24:10 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 00:24:10 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 00:24:30 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 00:24:30 	[preliminary_checks] 	step time for completion (seconds) = 246

INFO 	2016-04-05 00:24:33 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 00:24:33 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 00:24:33 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 00:24:56 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 00:24:56 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-05 00:24:58 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 00:24:58 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 00:24:58 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 01:28:38 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 01:28:39 	[trim_reads_trimmomatic] 	reads after trimming = 178691532
INFO 	2016-04-05 01:29:13 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 01:29:13 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 01:29:13 	[trim_reads_trimmomatic] 	unpaired reads are deleted
