
INFO 	2016-04-05 16:13:43 	[preliminary_checks] 	7824bad60_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 16:13:43 	[preliminary_checks] 	data for 7824bad60_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf
INFO 	2016-04-05 16:17:54 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 16:17:55 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 16:17:56 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 16:17:56 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 16:18:30 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 16:18:30 	[preliminary_checks] 	step time for completion (seconds) = 288

INFO 	2016-04-05 16:18:33 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 16:18:33 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 16:18:33 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 16:18:52 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 16:18:52 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-05 16:18:53 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 16:18:53 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 16:18:53 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 17:15:38 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 17:15:38 	[trim_reads_trimmomatic] 	reads after trimming = 161804448
INFO 	2016-04-05 17:15:58 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 17:15:58 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 17:15:58 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 17:15:58 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3425

INFO 	2016-04-05 17:16:03 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 17:16:03 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 17:16:03 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 17:16:03 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 17:16:03 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 17:16:03 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 23:31:48 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/logs/hg38_mmtv/7824bad60_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 23:33:21 	[align_and_merge] 	step time for completion (seconds) = 22642

INFO 	2016-04-05 23:33:47 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 00:03:28 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.870572019133
INFO 	2016-04-06 00:03:28 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.82456583641
INFO 	2016-04-06 00:03:28 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 111100156
INFO 	2016-04-06 00:03:28 	[post_mapping_statistics] 	counts-to-distance slope = -1.22525458444
TIME 	2016-04-06 00:03:34 	[post_mapping_statistics] 	step time for completion (seconds) = 1787

INFO 	2016-04-06 00:03:52 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 00:03:52 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 00:03:52 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 00:03:52 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 00:03:52 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 00:21:50 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 00:23:19 	[reads_filtering] 	step time for completion (seconds) = 1183

INFO 	2016-04-06 00:23:21 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 00:23:21 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 00:23:21 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 00:23:21 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 00:37:52 	[post_filtering_statistics] 	step time for completion (seconds) = 871

INFO 	2016-04-06 00:37:54 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 01:05:17 	[index_contacts] 	step time for completion (seconds) = 1643

INFO 	2016-04-06 01:05:27 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 61 files...
TIME 	2016-04-06 02:20:42 	[map_to_bam] 	step time for completion (seconds) = 4515

INFO 	2016-04-06 02:20:52 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 16:19:06 	[downstream_bam] 	step time for completion (seconds) = 50294

INFO 	2016-04-06 16:19:07 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 16:19:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/fastqs_processed
INFO 	2016-04-06 16:19:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/7824bad60_51720e9cf/mapped_reads
TIME 	2016-04-06 16:19:09 	[clean_up] 	step time for completion (seconds) = 2


