
INFO 	2016-04-15 00:31:36 	[preliminary_checks] 	b742f3789_8478dfc31 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 00:31:36 	[preliminary_checks] 	data for b742f3789_8478dfc31 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31
INFO 	2016-04-15 00:40:53 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 00:40:54 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:40:56 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:40:56 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 00:41:20 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 00:41:20 	[preliminary_checks] 	step time for completion (seconds) = 586

INFO 	2016-04-15 00:41:23 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 00:41:23 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 00:41:23 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-15 00:41:42 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 00:41:42 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-15 00:41:45 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 00:41:45 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 00:41:45 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 03:02:51 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 03:02:52 	[trim_reads_trimmomatic] 	reads after trimming = 390073019
INFO 	2016-04-15 03:03:18 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 03:03:18 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 03:03:18 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 03:03:18 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8493

INFO 	2016-04-15 03:03:25 	[align_and_merge] 	species = Mus_musculus
