
INFO 	2016-04-08 16:26:57 	[preliminary_checks] 	fc3e8b36a_4c48f0739 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:26:57 	[preliminary_checks] 	data for fc3e8b36a_4c48f0739 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739
INFO 	2016-04-08 16:27:54 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:27:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:27:57 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:27:57 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:28:28 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:28:28 	[preliminary_checks] 	step time for completion (seconds) = 92

INFO 	2016-04-08 16:28:31 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:28:31 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:28:31 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:28:50 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:28:50 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-08 16:28:52 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:28:52 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:28:52 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:49:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:49:59 	[trim_reads_trimmomatic] 	reads after trimming = 61371084
INFO 	2016-04-08 16:50:29 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:50:29 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4c48f0739/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:50:29 	[trim_reads_trimmomatic] 	unpaired reads are deleted
