
INFO 	2016-04-13 15:09:50 	[preliminary_checks] 	a1e46328c_db4f304ee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 15:09:50 	[preliminary_checks] 	data for a1e46328c_db4f304ee will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee
INFO 	2016-04-13 15:12:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 15:12:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-13 15:12:58 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-13 15:12:58 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-13 15:12:59 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 15:13:42 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 15:13:42 	[preliminary_checks] 	step time for completion (seconds) = 234

INFO 	2016-04-13 15:13:45 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 15:13:45 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 15:13:45 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-13 15:14:05 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 15:14:05 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-13 15:14:06 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 15:14:06 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 15:14:06 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 16:13:13 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 16:13:13 	[trim_reads_trimmomatic] 	reads after trimming = 172894582
INFO 	2016-04-13 16:13:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 16:13:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 16:13:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 16:13:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3581

INFO 	2016-04-13 16:13:53 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 16:13:53 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 16:13:53 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 16:13:53 	[align_and_merge] 	read length = 75
INFO 	2016-04-13 16:13:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 16:13:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 00:00:56 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/logs/hg38_mmtv/a1e46328c_db4f304ee_align_and_merge_paired_end.log
TIME 	2016-04-14 00:03:05 	[align_and_merge] 	step time for completion (seconds) = 28156

INFO 	2016-04-14 00:03:20 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 00:38:44 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.891405180065
INFO 	2016-04-14 00:38:44 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.851623013843
INFO 	2016-04-14 00:38:44 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 120953719
INFO 	2016-04-14 00:38:44 	[post_mapping_statistics] 	counts-to-distance slope = -1.2526118186
TIME 	2016-04-14 00:38:51 	[post_mapping_statistics] 	step time for completion (seconds) = 2131

INFO 	2016-04-14 00:39:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 00:39:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 00:39:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 00:39:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 00:39:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 00:58:08 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 01:00:23 	[reads_filtering] 	step time for completion (seconds) = 1291

INFO 	2016-04-14 01:00:25 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 01:00:25 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 01:00:25 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 01:00:25 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 01:22:48 	[post_filtering_statistics] 	step time for completion (seconds) = 1343

INFO 	2016-04-14 01:22:50 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 02:01:48 	[index_contacts] 	step time for completion (seconds) = 2338

INFO 	2016-04-14 02:02:00 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 69 files...
TIME 	2016-04-14 03:32:49 	[map_to_bam] 	step time for completion (seconds) = 5449

INFO 	2016-04-14 03:33:01 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 15:22:16 	[downstream_bam] 	step time for completion (seconds) = 42555

INFO 	2016-04-14 15:22:17 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 15:22:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/fastqs_processed
INFO 	2016-04-14 15:22:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_db4f304ee/mapped_reads
TIME 	2016-04-14 15:22:18 	[clean_up] 	step time for completion (seconds) = 1


