
INFO 	2016-04-08 09:56:53 	[preliminary_checks] 	a7c643d27_4ed08f4eb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 09:56:53 	[preliminary_checks] 	data for a7c643d27_4ed08f4eb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb
INFO 	2016-04-08 10:03:21 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:03:22 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:03:24 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:03:24 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:03:40 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:03:40 	[preliminary_checks] 	step time for completion (seconds) = 409

INFO 	2016-04-08 10:03:43 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:03:43 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:03:43 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:04:01 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:04:01 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:04:03 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:04:03 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:04:03 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:15:41 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:15:41 	[trim_reads_trimmomatic] 	reads after trimming = 365933840
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_4ed08f4eb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7916

