
INFO 	2016-04-15 12:11:31 	[preliminary_checks] 	a1e46328c_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 12:11:31 	[preliminary_checks] 	data for a1e46328c_467f847a2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2
INFO 	2016-04-15 12:18:06 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 12:18:07 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 12:18:09 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 12:18:09 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 12:18:51 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 12:18:51 	[preliminary_checks] 	step time for completion (seconds) = 441

INFO 	2016-04-15 12:18:54 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 12:18:54 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 12:18:54 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 12:19:19 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 12:19:19 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-15 12:19:21 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 12:19:21 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 12:19:21 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 14:20:46 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 14:20:46 	[trim_reads_trimmomatic] 	reads after trimming = 330407911
INFO 	2016-04-15 14:21:55 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 14:21:55 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 14:21:55 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 14:21:55 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7354

INFO 	2016-04-15 14:22:01 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 14:22:01 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 14:22:01 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 14:22:02 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 14:22:02 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 14:22:02 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-16 05:06:31 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/logs/hg38_mmtv/a1e46328c_467f847a2_align_and_merge_paired_end.log
TIME 	2016-04-16 05:11:04 	[align_and_merge] 	step time for completion (seconds) = 53347

INFO 	2016-04-16 05:11:19 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-16 06:17:32 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.890135227422
INFO 	2016-04-16 06:17:32 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.866167232903
INFO 	2016-04-16 06:17:32 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 236033193
INFO 	2016-04-16 06:17:32 	[post_mapping_statistics] 	counts-to-distance slope = -1.25343702886
TIME 	2016-04-16 06:17:46 	[post_mapping_statistics] 	step time for completion (seconds) = 3987

INFO 	2016-04-16 06:18:23 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-16 06:18:23 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/results/hg38_mmtv/filtered_reads
INFO 	2016-04-16 06:18:23 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-16 06:18:23 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-16 06:18:23 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-16 06:53:53 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-16 06:57:17 	[reads_filtering] 	step time for completion (seconds) = 2369

INFO 	2016-04-16 06:57:19 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-16 06:57:19 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-16 06:57:19 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-16 06:57:19 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-16 07:37:21 	[post_filtering_statistics] 	step time for completion (seconds) = 2402

INFO 	2016-04-16 07:37:25 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_467f847a2/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 08:57:47 	[index_contacts] 	step time for completion (seconds) = 4822

INFO 	2016-04-16 08:58:14 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 134 files...
TIME 	2016-04-16 11:53:08 	[map_to_bam] 	step time for completion (seconds) = 10494

INFO 	2016-04-16 11:53:33 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-17 02:46:25 	[downstream_bam] 	step time for completion (seconds) = 53572

