
INFO 	2016-03-31 15:01:17 	[preliminary_checks] 	TE_S_T found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-03-31 15:01:17 	[preliminary_checks] 	data for TE_S_T will be stored at /users/project/4DGenome_no_backup/data/hic/samples/TE_S_T
INFO 	2016-03-31 15:01:27 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-03-31 15:01:28 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-03-31 15:01:29 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-03-31 15:01:29 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-03-31 15:02:20 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-03-31 15:02:20 	[preliminary_checks] 	step time for completion (seconds) = 64

INFO 	2016-03-31 15:02:22 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-03-31 15:02:22 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-03-31 15:02:22 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/TE_S_T/plots/raw_fastqs_quality_plots
INFO 	2016-03-31 15:02:51 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-03-31 15:02:51 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 30

INFO 	2016-03-31 15:02:52 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-03-31 15:02:52 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-03-31 15:02:52 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
