
INFO 	2016-04-15 13:32:39 	[preliminary_checks] 	f63c93d81_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 13:32:39 	[preliminary_checks] 	data for f63c93d81_467f847a2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2
INFO 	2016-04-15 13:37:59 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 13:38:00 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 13:38:02 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 13:38:02 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 13:38:22 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 13:38:22 	[preliminary_checks] 	step time for completion (seconds) = 345

INFO 	2016-04-15 13:38:25 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 13:38:25 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 13:38:25 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 13:38:48 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 13:38:48 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-15 13:38:50 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 13:38:50 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 13:38:50 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 15:32:29 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 15:32:29 	[trim_reads_trimmomatic] 	reads after trimming = 314072748
INFO 	2016-04-15 15:33:18 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 15:33:18 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 15:33:18 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 15:33:19 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6869

INFO 	2016-04-15 15:33:35 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 15:33:35 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 15:33:35 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 15:33:35 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 15:33:36 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 15:33:36 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-16 05:55:39 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/logs/hg38_mmtv/f63c93d81_467f847a2_align_and_merge_paired_end.log
TIME 	2016-04-16 05:59:07 	[align_and_merge] 	step time for completion (seconds) = 51946

INFO 	2016-04-16 05:59:21 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-16 07:02:02 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.892448026086
INFO 	2016-04-16 07:02:02 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.855784876948
INFO 	2016-04-16 07:02:02 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 221763670
INFO 	2016-04-16 07:02:02 	[post_mapping_statistics] 	counts-to-distance slope = -1.27876327382
TIME 	2016-04-16 07:02:18 	[post_mapping_statistics] 	step time for completion (seconds) = 3777

INFO 	2016-04-16 07:02:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-16 07:02:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/results/hg38_mmtv/filtered_reads
INFO 	2016-04-16 07:02:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-16 07:02:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-16 07:02:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-16 07:36:17 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-16 07:39:51 	[reads_filtering] 	step time for completion (seconds) = 2251

INFO 	2016-04-16 07:39:53 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-16 07:39:53 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-16 07:39:53 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-16 07:39:53 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-16 08:17:32 	[post_filtering_statistics] 	step time for completion (seconds) = 2259

INFO 	2016-04-16 08:17:38 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 09:27:25 	[index_contacts] 	step time for completion (seconds) = 4187

INFO 	2016-04-16 09:27:44 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 126 files...
TIME 	2016-04-16 12:11:47 	[map_to_bam] 	step time for completion (seconds) = 9843

INFO 	2016-04-16 12:11:59 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-17 01:35:18 	[downstream_bam] 	step time for completion (seconds) = 48199

INFO 	2016-04-17 01:35:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-17 01:35:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/fastqs_processed
INFO 	2016-04-17 01:35:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_467f847a2/mapped_reads
TIME 	2016-04-17 01:35:21 	[clean_up] 	step time for completion (seconds) = 1


