
INFO 	2016-04-06 06:01:36 	[preliminary_checks] 	b7fa2d8db_d5f36599c found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:01:36 	[preliminary_checks] 	data for b7fa2d8db_d5f36599c will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c
INFO 	2016-04-06 06:03:31 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 06:03:32 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:03:34 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:03:34 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:03:59 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 06:03:59 	[preliminary_checks] 	step time for completion (seconds) = 145

INFO 	2016-04-06 06:04:02 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:04:02 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 06:04:02 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 06:04:22 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 06:04:22 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 06:04:24 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 06:04:24 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 06:04:24 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 06:32:35 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 06:32:35 	[trim_reads_trimmomatic] 	reads after trimming = 67472388
INFO 	2016-04-06 06:33:05 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 06:33:05 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 06:33:05 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 06:33:05 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1721

INFO 	2016-04-06 06:33:15 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 06:33:15 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 06:33:15 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:33:15 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 06:33:15 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:33:15 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 09:17:02 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/logs/mm10/b7fa2d8db_d5f36599c_align_and_merge_paired_end.log
TIME 	2016-04-06 09:17:31 	[align_and_merge] 	step time for completion (seconds) = 9860

INFO 	2016-04-06 09:17:45 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 09:28:56 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.695022132609
INFO 	2016-04-06 09:28:56 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.700307361287
INFO 	2016-04-06 09:28:56 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 33656789
INFO 	2016-04-06 09:28:56 	[post_mapping_statistics] 	counts-to-distance slope = -1.16973554669
TIME 	2016-04-06 09:29:04 	[post_mapping_statistics] 	step time for completion (seconds) = 679

INFO 	2016-04-06 09:29:11 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 09:29:11 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/results/mm10/filtered_reads
INFO 	2016-04-06 09:29:11 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_d5f36599c/results/mm10/excluded_reads/dangling_ends
