
INFO 	2016-04-08 09:56:36 	[preliminary_checks] 	b742f3789_ae7e2295e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 09:56:36 	[preliminary_checks] 	data for b742f3789_ae7e2295e will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e
INFO 	2016-04-08 10:01:49 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:01:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:01:52 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:01:52 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:02:17 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:02:17 	[preliminary_checks] 	step time for completion (seconds) = 343

INFO 	2016-04-08 10:02:20 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:02:20 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:02:20 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:02:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:02:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:02:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:02:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:02:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 11:58:47 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 11:58:47 	[trim_reads_trimmomatic] 	reads after trimming = 319264425
INFO 	2016-04-08 11:59:06 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 11:59:06 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 11:59:06 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 11:59:06 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6985

INFO 	2016-04-08 11:59:12 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 11:59:12 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 11:59:12 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 11:59:12 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 11:59:12 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 11:59:12 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 04:26:43 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/logs/mm10/b742f3789_ae7e2295e_align_and_merge_paired_end.log
TIME 	2016-04-09 04:31:11 	[align_and_merge] 	step time for completion (seconds) = 59523

INFO 	2016-04-09 04:31:21 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 05:30:51 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.844245966333
INFO 	2016-04-09 05:30:51 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.838588148366
INFO 	2016-04-09 05:30:51 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 213868893
INFO 	2016-04-09 05:30:51 	[post_mapping_statistics] 	counts-to-distance slope = -1.08963997203
TIME 	2016-04-09 05:30:58 	[post_mapping_statistics] 	step time for completion (seconds) = 3577

INFO 	2016-04-09 05:31:31 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 05:31:31 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/results/mm10/filtered_reads
INFO 	2016-04-09 05:31:31 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 05:31:31 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 05:31:31 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 06:02:31 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 06:05:32 	[reads_filtering] 	step time for completion (seconds) = 2073

INFO 	2016-04-09 06:05:34 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 06:05:34 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 06:05:34 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 06:05:34 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 06:43:39 	[post_filtering_statistics] 	step time for completion (seconds) = 2285

INFO 	2016-04-09 06:43:42 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 07:55:01 	[index_contacts] 	step time for completion (seconds) = 4279

INFO 	2016-04-09 07:55:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 122 files...
TIME 	2016-04-09 10:32:04 	[map_to_bam] 	step time for completion (seconds) = 9418

INFO 	2016-04-09 10:32:06 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 21:03:44 	[downstream_bam] 	step time for completion (seconds) = 37898

INFO 	2016-04-09 21:03:53 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:03:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/fastqs_processed
INFO 	2016-04-09 21:03:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_ae7e2295e/mapped_reads
TIME 	2016-04-09 21:03:54 	[clean_up] 	step time for completion (seconds) = 1


