
INFO 	2016-04-15 05:10:01 	[preliminary_checks] 	1618f57a8_0e24fcc35 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 05:10:01 	[preliminary_checks] 	data for 1618f57a8_0e24fcc35 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35
INFO 	2016-04-15 05:13:04 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 05:13:05 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-15 05:13:07 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-15 05:13:07 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-15 05:13:09 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 05:13:37 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 05:13:37 	[preliminary_checks] 	step time for completion (seconds) = 218

INFO 	2016-04-15 05:13:41 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 05:13:41 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 05:13:41 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 05:14:02 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 05:14:02 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-15 05:14:03 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 05:14:03 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 05:14:03 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 06:08:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 06:08:05 	[trim_reads_trimmomatic] 	reads after trimming = 162673825
INFO 	2016-04-15 06:08:31 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 06:08:31 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 06:08:31 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 06:08:31 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3268

INFO 	2016-04-15 06:08:38 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 06:08:38 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 06:08:38 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 06:08:38 	[align_and_merge] 	read length = 76
INFO 	2016-04-15 06:08:38 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 06:08:38 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 12:35:21 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/logs/hg38_mmtv/1618f57a8_0e24fcc35_align_and_merge_paired_end.log
TIME 	2016-04-15 12:36:54 	[align_and_merge] 	step time for completion (seconds) = 23301

INFO 	2016-04-15 12:37:11 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 13:03:34 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.869914019665
INFO 	2016-04-15 13:03:34 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.687966303122
INFO 	2016-04-15 13:03:34 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 92314091
INFO 	2016-04-15 13:03:34 	[post_mapping_statistics] 	counts-to-distance slope = -1.18881481887
TIME 	2016-04-15 13:04:08 	[post_mapping_statistics] 	step time for completion (seconds) = 1617

INFO 	2016-04-15 13:04:26 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 13:04:26 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 13:04:26 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 13:04:26 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 13:04:26 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 13:18:05 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 13:19:45 	[reads_filtering] 	step time for completion (seconds) = 934

INFO 	2016-04-15 13:19:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 13:19:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 13:19:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 13:19:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 13:37:39 	[post_filtering_statistics] 	step time for completion (seconds) = 1071

INFO 	2016-04-15 13:37:42 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 14:09:17 	[index_contacts] 	step time for completion (seconds) = 1895

INFO 	2016-04-15 14:09:20 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 51 files...
TIME 	2016-04-15 15:16:21 	[map_to_bam] 	step time for completion (seconds) = 4021

INFO 	2016-04-15 15:16:29 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 03:18:30 	[downstream_bam] 	step time for completion (seconds) = 43321

INFO 	2016-04-16 03:18:32 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 03:18:32 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/fastqs_processed
INFO 	2016-04-16 03:18:32 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/mapped_reads
TIME 	2016-04-16 03:18:34 	[clean_up] 	step time for completion (seconds) = 2


