
INFO 	2016-04-15 01:33:08 	[preliminary_checks] 	HindIII_T60 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:33:08 	[preliminary_checks] 	data for HindIII_T60 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60
INFO 	2016-04-15 01:34:18 	[add_to_metadata] 	-t <table>, -s <sample_id>, -u <time_stamp> -a <attribute> and or -v <value> are not provided; exiting...
INFO 	2016-04-15 01:34:18 	[add_to_metadata] 	t=hic s=HindIII_T60 u=2016-04-15-01-32 a=SEQUENCING_FLOWCELL_LANE v=
INFO 	2016-04-15 01:34:18 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-15 01:34:20 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-15 01:34:21 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:34:21 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:34:56 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 01:34:56 	[preliminary_checks] 	step time for completion (seconds) = 109

INFO 	2016-04-15 01:34:58 	[raw_fastqs_quality_plots] 	restriction enzyme = HindIII
INFO 	2016-04-15 01:34:58 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 01:34:58 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 01:35:18 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 01:35:18 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-15 01:35:20 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 01:35:20 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 01:35:20 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 02:02:28 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 02:02:28 	[trim_reads_trimmomatic] 	reads after trimming = 78283356
INFO 	2016-04-15 02:02:57 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 02:02:57 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 02:02:57 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 02:02:57 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1658

INFO 	2016-04-15 02:03:02 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 02:03:02 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 02:03:02 	[align_and_merge] 	restriction enzyme = HindIII
INFO 	2016-04-15 02:03:02 	[align_and_merge] 	read length = 54
INFO 	2016-04-15 02:03:02 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 02:03:02 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 05:00:42 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/logs/hg38_mmtv/HindIII_T60_align_and_merge_paired_end.log
TIME 	2016-04-15 05:02:00 	[align_and_merge] 	step time for completion (seconds) = 10742

INFO 	2016-04-15 05:02:05 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 05:20:13 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.900633833327
INFO 	2016-04-15 05:20:13 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.893262968951
INFO 	2016-04-15 05:20:13 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 58511417
INFO 	2016-04-15 05:20:13 	[post_mapping_statistics] 	counts-to-distance slope = -1.07079083551
TIME 	2016-04-15 05:20:23 	[post_mapping_statistics] 	step time for completion (seconds) = 1098

INFO 	2016-04-15 05:20:32 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 05:20:32 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T60/results/hg38_mmtv/filtered_reads
