
INFO 	2016-04-08 16:19:45 	[preliminary_checks] 	b7fa2d8db_333a703b9 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:19:45 	[preliminary_checks] 	data for b7fa2d8db_333a703b9 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9
INFO 	2016-04-08 16:20:57 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:21:02 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:21:04 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:21:05 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:21:35 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:21:35 	[preliminary_checks] 	step time for completion (seconds) = 112

INFO 	2016-04-08 16:21:39 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:21:39 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:21:39 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:22:14 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:22:14 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 37

INFO 	2016-04-08 16:22:16 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:22:16 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:22:16 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:47:25 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:47:25 	[trim_reads_trimmomatic] 	reads after trimming = 70731005
INFO 	2016-04-08 16:48:03 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:48:03 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:48:03 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:48:03 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1547

INFO 	2016-04-08 16:48:17 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:48:17 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:48:17 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:48:17 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:48:17 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:48:17 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 21:41:03 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/logs/mm10/b7fa2d8db_333a703b9_align_and_merge_paired_end.log
TIME 	2016-04-08 21:43:30 	[align_and_merge] 	step time for completion (seconds) = 17719

INFO 	2016-04-08 21:43:45 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 22:22:29 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.846477976667
INFO 	2016-04-08 22:22:29 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.821375901558
INFO 	2016-04-08 22:22:29 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 45664334
INFO 	2016-04-08 22:22:30 	[post_mapping_statistics] 	counts-to-distance slope = -1.17408267673
TIME 	2016-04-08 22:23:14 	[post_mapping_statistics] 	step time for completion (seconds) = 2369

INFO 	2016-04-08 22:23:31 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 22:23:31 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/results/mm10/filtered_reads
INFO 	2016-04-08 22:23:31 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 22:23:31 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 22:23:31 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 22:32:55 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 22:34:44 	[reads_filtering] 	step time for completion (seconds) = 687

INFO 	2016-04-08 22:34:47 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 22:34:47 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 22:34:47 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 22:34:47 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 23:03:05 	[post_filtering_statistics] 	step time for completion (seconds) = 1697

INFO 	2016-04-08 23:03:39 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 23:23:08 	[index_contacts] 	step time for completion (seconds) = 1169

INFO 	2016-04-08 23:23:13 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 26 files...
TIME 	2016-04-09 00:22:25 	[map_to_bam] 	step time for completion (seconds) = 3553

INFO 	2016-04-09 00:22:49 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0304/job_scripts/2168740: line 747: 18042 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 09:19:04 	[downstream_bam] 	step time for completion (seconds) = 32175

INFO 	2016-04-09 09:19:06 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 09:19:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/fastqs_processed
INFO 	2016-04-09 09:19:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_333a703b9/mapped_reads
TIME 	2016-04-09 09:19:10 	[clean_up] 	step time for completion (seconds) = 4


