
INFO 	2016-04-05 23:04:11 	[preliminary_checks] 	4a13fb79e_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 23:04:11 	[preliminary_checks] 	data for 4a13fb79e_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb
INFO 	2016-04-05 23:09:52 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 23:09:53 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 23:09:55 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 23:09:55 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 23:10:24 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 23:10:24 	[preliminary_checks] 	step time for completion (seconds) = 374

INFO 	2016-04-05 23:10:27 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 23:10:27 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 23:10:27 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 23:10:46 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 23:10:46 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-05 23:10:48 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 23:10:48 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 23:10:48 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 00:40:11 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 00:40:11 	[trim_reads_trimmomatic] 	reads after trimming = 246910925
INFO 	2016-04-06 00:40:40 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 00:40:40 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 00:40:40 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 00:40:40 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5392

INFO 	2016-04-06 00:40:46 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 00:40:46 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 00:40:46 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 00:40:46 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 00:40:46 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 00:40:46 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 10:36:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/logs/hg38_mmtv/4a13fb79e_f34e98deb_align_and_merge_paired_end.log
TIME 	2016-04-06 10:39:16 	[align_and_merge] 	step time for completion (seconds) = 35915

INFO 	2016-04-06 10:39:20 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 11:34:02 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.868129541048
INFO 	2016-04-06 11:34:02 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.796837758394
INFO 	2016-04-06 11:34:02 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 171649656
INFO 	2016-04-06 11:34:02 	[post_mapping_statistics] 	counts-to-distance slope = -1.38116735516
TIME 	2016-04-06 11:34:09 	[post_mapping_statistics] 	step time for completion (seconds) = 3289

INFO 	2016-04-06 11:34:35 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 11:34:35 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 11:34:35 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 11:34:35 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 11:34:35 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 12:03:14 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 12:04:08 	[reads_filtering] 	step time for completion (seconds) = 1797

INFO 	2016-04-06 12:04:10 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 12:04:10 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 12:04:10 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 12:04:10 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 12:21:03 	[post_filtering_statistics] 	step time for completion (seconds) = 1013

INFO 	2016-04-06 12:21:06 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 12:44:38 	[index_contacts] 	step time for completion (seconds) = 1412

INFO 	2016-04-06 12:44:40 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 91 files...
TIME 	2016-04-06 14:30:23 	[map_to_bam] 	step time for completion (seconds) = 6344

INFO 	2016-04-06 14:30:25 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 01:09:30 	[downstream_bam] 	step time for completion (seconds) = 38345

INFO 	2016-04-07 01:09:32 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 01:09:32 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/fastqs_processed
INFO 	2016-04-07 01:09:32 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/mapped_reads
TIME 	2016-04-07 01:09:32 	[clean_up] 	step time for completion (seconds) = 0


