
INFO 	2016-05-03 13:25:06 	[preliminary_checks] 	b742f3789_d8fdfbeba found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 13:25:06 	[preliminary_checks] 	data for b742f3789_d8fdfbeba will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba
INFO 	2016-05-03 13:32:06 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 13:32:08 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:32:09 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:32:09 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 13:32:27 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 13:32:27 	[preliminary_checks] 	step time for completion (seconds) = 442

INFO 	2016-05-03 13:32:30 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-03 13:32:30 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 13:32:30 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-05-03 13:32:52 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 13:32:52 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-05-03 13:32:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 13:32:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 13:32:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 16:33:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 16:33:06 	[trim_reads_trimmomatic] 	reads after trimming = 368945360
INFO 	2016-05-03 16:33:37 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 16:33:37 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 16:33:37 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 16:33:37 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10843

INFO 	2016-05-03 16:33:43 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-05-03 16:33:43 	[align_and_merge] 	assembly version = mm10
INFO 	2016-05-03 16:33:43 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 16:33:43 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 16:33:43 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 16:33:43 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-04 11:43:11 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/logs/mm10/b742f3789_d8fdfbeba_align_and_merge_paired_end.log
TIME 	2016-05-04 11:49:02 	[align_and_merge] 	step time for completion (seconds) = 69323

INFO 	2016-05-04 11:49:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-04 13:20:19 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.962008130418
INFO 	2016-05-04 13:20:19 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.96381254937
INFO 	2016-05-04 13:20:19 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 250407849
INFO 	2016-05-04 13:20:19 	[post_mapping_statistics] 	counts-to-distance slope = -1.13881574093
TIME 	2016-05-04 13:20:37 	[post_mapping_statistics] 	step time for completion (seconds) = 5473

INFO 	2016-05-04 13:21:31 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-04 13:21:31 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/results/mm10/filtered_reads
INFO 	2016-05-04 13:21:31 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/results/mm10/excluded_reads/dangling_ends
INFO 	2016-05-04 13:21:31 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/results/mm10/excluded_reads/self_circle
INFO 	2016-05-04 13:21:31 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-04 14:09:28 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 14:13:48 	[reads_filtering] 	step time for completion (seconds) = 3186

INFO 	2016-05-04 14:13:50 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d8fdfbeba/plots/mm10/post_filtering_statistics:
