
INFO 	2016-04-06 09:05:01 	[preliminary_checks] 	4ca65de60_707096ecf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 09:05:01 	[preliminary_checks] 	data for 4ca65de60_707096ecf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf
INFO 	2016-04-06 09:09:14 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 09:09:15 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 09:09:17 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 09:09:17 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 09:09:48 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 09:09:48 	[preliminary_checks] 	step time for completion (seconds) = 289

INFO 	2016-04-06 09:09:51 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 09:09:51 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 09:09:51 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 09:10:09 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 09:10:09 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-06 09:10:11 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 09:10:11 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 09:10:11 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 10:12:26 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 10:12:26 	[trim_reads_trimmomatic] 	reads after trimming = 175237645
INFO 	2016-04-06 10:12:48 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 10:12:48 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 10:12:48 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 10:12:48 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3757

INFO 	2016-04-06 10:12:55 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 10:12:55 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 10:12:55 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 10:12:55 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 10:12:55 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 10:12:55 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 16:47:05 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/logs/hg38_mmtv/4ca65de60_707096ecf_align_and_merge_paired_end.log
TIME 	2016-04-06 16:49:01 	[align_and_merge] 	step time for completion (seconds) = 23771

INFO 	2016-04-06 16:49:21 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 17:24:05 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.89472406457
INFO 	2016-04-06 17:24:05 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.877128010936
INFO 	2016-04-06 17:24:05 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 129500897
INFO 	2016-04-06 17:24:05 	[post_mapping_statistics] 	counts-to-distance slope = -1.27732277515
TIME 	2016-04-06 17:24:15 	[post_mapping_statistics] 	step time for completion (seconds) = 2095

INFO 	2016-04-06 17:24:36 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 17:24:36 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 17:24:36 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 17:24:36 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 17:24:36 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 17:43:29 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 17:45:09 	[reads_filtering] 	step time for completion (seconds) = 1252

INFO 	2016-04-06 17:45:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/4ca65de60_707096ecf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 17:45:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
