
INFO 	2016-04-08 13:18:14 	[preliminary_checks] 	fc3e8b36a_c3cf37482 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 13:18:14 	[preliminary_checks] 	data for fc3e8b36a_c3cf37482 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482
INFO 	2016-04-08 13:23:11 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 13:23:13 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:23:14 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:23:14 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 13:23:29 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 13:23:29 	[preliminary_checks] 	step time for completion (seconds) = 317

INFO 	2016-04-08 13:23:33 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 13:23:33 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 13:23:33 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 13:23:53 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 13:23:53 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-08 13:23:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 13:23:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 13:23:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 15:18:40 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 15:18:40 	[trim_reads_trimmomatic] 	reads after trimming = 327231092
INFO 	2016-04-08 15:19:08 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 15:19:08 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 15:19:08 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 15:19:08 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6913

INFO 	2016-04-08 15:19:14 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 15:19:14 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 15:19:14 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 15:19:14 	[align_and_merge] 	read length = 76
INFO 	2016-04-08 15:19:14 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 15:19:14 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 04:53:57 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c3cf37482/logs/mm10/fc3e8b36a_c3cf37482_align_and_merge_paired_end.log
TIME 	2016-04-09 04:57:22 	[align_and_merge] 	step time for completion (seconds) = 49092

INFO 	2016-04-09 04:57:25 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 05:58:07 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.854624272684
INFO 	2016-04-09 05:58:07 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.848607274152
INFO 	2016-04-09 05:58:07 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 214380222
INFO 	2016-04-09 05:58:07 	[post_mapping_statistics] 	counts-to-distance slope = -1.25978772878
