
INFO 	2016-04-06 16:20:17 	[preliminary_checks] 	e6588f786_d258bd3a6 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 16:20:17 	[preliminary_checks] 	data for e6588f786_d258bd3a6 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6
INFO 	2016-04-06 16:25:31 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 16:25:33 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 16:25:34 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 16:25:34 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 16:25:59 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 16:25:59 	[preliminary_checks] 	step time for completion (seconds) = 343

INFO 	2016-04-06 16:26:03 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 16:26:03 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 16:26:03 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 16:26:25 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 16:26:25 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-06 16:26:27 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 16:26:27 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 16:26:27 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 17:39:02 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 17:39:02 	[trim_reads_trimmomatic] 	reads after trimming = 199872900
INFO 	2016-04-06 17:39:32 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 17:39:32 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 17:39:32 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 17:39:32 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4385

INFO 	2016-04-06 17:39:40 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 17:39:40 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 17:39:40 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 17:39:40 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 17:39:40 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 17:39:40 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
