
INFO 	2016-04-15 01:02:36 	[preliminary_checks] 	b742f3789_fbb920ecb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:02:36 	[preliminary_checks] 	data for b742f3789_fbb920ecb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb
INFO 	2016-04-15 01:08:20 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 01:08:22 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:08:23 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:08:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 01:08:53 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 01:08:53 	[preliminary_checks] 	step time for completion (seconds) = 379

INFO 	2016-04-15 01:08:56 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 01:08:56 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 01:08:56 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-15 01:09:17 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 01:09:17 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-15 01:09:19 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 01:09:19 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 01:09:19 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 03:05:03 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 03:05:03 	[trim_reads_trimmomatic] 	reads after trimming = 319890066
INFO 	2016-04-15 03:05:34 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 03:05:34 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 03:05:34 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 03:05:34 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6975

INFO 	2016-04-15 03:05:40 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-15 03:05:40 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-15 03:05:40 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 03:05:40 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 03:05:40 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 03:05:40 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 14:54:06 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/logs/mm10/b742f3789_fbb920ecb_align_and_merge_paired_end.log
TIME 	2016-04-15 14:57:46 	[align_and_merge] 	step time for completion (seconds) = 42730

INFO 	2016-04-15 14:57:53 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 15:59:45 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.838226776945
INFO 	2016-04-15 15:59:45 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.82793970226
INFO 	2016-04-15 15:59:45 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 211340362
INFO 	2016-04-15 15:59:45 	[post_mapping_statistics] 	counts-to-distance slope = -1.13893328025
TIME 	2016-04-15 16:00:03 	[post_mapping_statistics] 	step time for completion (seconds) = 3730

INFO 	2016-04-15 16:00:37 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 16:00:37 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/results/mm10/filtered_reads
INFO 	2016-04-15 16:00:37 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-15 16:00:37 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/results/mm10/excluded_reads/self_circle
INFO 	2016-04-15 16:00:37 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 16:31:51 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 16:34:38 	[reads_filtering] 	step time for completion (seconds) = 2074

INFO 	2016-04-15 16:34:40 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/plots/mm10/post_filtering_statistics:
INFO 	2016-04-15 16:34:40 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 16:34:40 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 16:34:40 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 17:11:54 	[post_filtering_statistics] 	step time for completion (seconds) = 2234

INFO 	2016-04-15 17:12:09 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 18:32:26 	[index_contacts] 	step time for completion (seconds) = 4817

INFO 	2016-04-15 18:32:40 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 119 files...
TIME 	2016-04-15 21:26:49 	[map_to_bam] 	step time for completion (seconds) = 10449

INFO 	2016-04-15 21:27:02 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 08:32:37 	[downstream_bam] 	step time for completion (seconds) = 39935

INFO 	2016-04-16 08:32:39 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 08:32:39 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/fastqs_processed
INFO 	2016-04-16 08:32:39 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fbb920ecb/mapped_reads
TIME 	2016-04-16 08:32:39 	[clean_up] 	step time for completion (seconds) = 0


