
INFO 	2016-04-06 06:14:48 	[preliminary_checks] 	fc3e8b36a_95f36c69d found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:14:48 	[preliminary_checks] 	data for fc3e8b36a_95f36c69d will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d
INFO 	2016-04-06 06:16:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 06:16:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:16:57 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:16:57 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:17:19 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 06:17:19 	[preliminary_checks] 	step time for completion (seconds) = 153

INFO 	2016-04-06 06:17:21 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:17:21 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 06:17:21 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 06:17:44 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 06:17:44 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-06 06:17:45 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 06:17:45 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 06:17:45 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 06:51:04 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 06:51:04 	[trim_reads_trimmomatic] 	reads after trimming = 78076844
INFO 	2016-04-06 06:51:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 06:51:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 06:51:23 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 06:51:23 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2018

INFO 	2016-04-06 06:51:29 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 06:51:29 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 06:51:29 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:51:29 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 06:51:29 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:51:29 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 09:35:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/logs/mm10/fc3e8b36a_95f36c69d_align_and_merge_paired_end.log
TIME 	2016-04-06 09:36:11 	[align_and_merge] 	step time for completion (seconds) = 9886

INFO 	2016-04-06 09:36:21 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 09:49:06 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.700605700712
INFO 	2016-04-06 09:49:06 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.713365348118
INFO 	2016-04-06 09:49:06 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 39119903
INFO 	2016-04-06 09:49:06 	[post_mapping_statistics] 	counts-to-distance slope = -1.24569776019
TIME 	2016-04-06 09:49:14 	[post_mapping_statistics] 	step time for completion (seconds) = 773

INFO 	2016-04-06 09:49:21 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 09:49:21 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/results/mm10/filtered_reads
INFO 	2016-04-06 09:49:21 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 09:49:21 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 09:49:21 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 09:55:15 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 09:55:45 	[reads_filtering] 	step time for completion (seconds) = 390

INFO 	2016-04-06 09:55:47 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 09:55:47 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 09:55:47 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 09:55:47 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 10:04:51 	[post_filtering_statistics] 	step time for completion (seconds) = 544

INFO 	2016-04-06 10:04:54 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_95f36c69d/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 10:18:07 	[index_contacts] 	step time for completion (seconds) = 793

