
INFO 	2016-04-08 10:07:47 	[preliminary_checks] 	b742f3789_128e263fa found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 10:07:47 	[preliminary_checks] 	data for b742f3789_128e263fa will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa
INFO 	2016-04-08 10:14:47 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:14:48 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:14:50 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:14:50 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:15:06 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:15:06 	[preliminary_checks] 	step time for completion (seconds) = 440

INFO 	2016-04-08 10:15:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:15:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:15:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:15:28 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:15:28 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-08 10:15:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:15:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:15:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:13:20 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:13:20 	[trim_reads_trimmomatic] 	reads after trimming = 325458336
INFO 	2016-04-08 12:13:44 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:13:44 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:13:44 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:13:44 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7095

INFO 	2016-04-08 12:13:50 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:13:50 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:13:50 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:13:50 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:13:50 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:13:50 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 03:00:04 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa/logs/mm10/b742f3789_128e263fa_align_and_merge_paired_end.log
TIME 	2016-04-09 03:04:42 	[align_and_merge] 	step time for completion (seconds) = 53457

INFO 	2016-04-09 03:05:12 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 04:06:52 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.835236483235
