
INFO 	2016-04-13 12:57:13 	[preliminary_checks] 	2d656cab7_1de577577 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 12:57:13 	[preliminary_checks] 	data for 2d656cab7_1de577577 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577
INFO 	2016-04-13 12:57:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 12:57:57 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 12:57:58 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 12:57:58 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 12:58:29 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 12:58:29 	[preliminary_checks] 	step time for completion (seconds) = 78

INFO 	2016-04-13 12:58:32 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 12:58:32 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 12:58:32 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-13 12:58:52 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 12:58:52 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-13 12:58:54 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 12:58:54 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 12:58:54 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 13:09:09 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 13:09:09 	[trim_reads_trimmomatic] 	reads after trimming = 26447215
INFO 	2016-04-13 13:09:31 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 13:09:31 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 13:09:31 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 13:09:31 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 637

INFO 	2016-04-13 13:09:37 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 13:09:37 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 13:09:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 13:09:37 	[align_and_merge] 	read length = 100
INFO 	2016-04-13 13:09:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 13:09:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 14:05:16 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/logs/hg38_mmtv/2d656cab7_1de577577_align_and_merge_paired_end.log
TIME 	2016-04-13 14:05:26 	[align_and_merge] 	step time for completion (seconds) = 3353

INFO 	2016-04-13 14:05:38 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 14:11:55 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.811692422057
INFO 	2016-04-13 14:11:55 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.807540529315
INFO 	2016-04-13 14:11:55 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 16643462
INFO 	2016-04-13 14:11:55 	[post_mapping_statistics] 	counts-to-distance slope = -1.32465606572
TIME 	2016-04-13 14:12:01 	[post_mapping_statistics] 	step time for completion (seconds) = 383

INFO 	2016-04-13 14:12:05 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 14:12:05 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/results/hg38_mmtv/filtered_reads
INFO 	2016-04-13 14:12:05 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-13 14:12:05 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_1de577577/results/hg38_mmtv/excluded_reads/self_circle
