
INFO 	2016-04-06 10:37:35 	[preliminary_checks] 	a1e46328c_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 10:37:35 	[preliminary_checks] 	data for a1e46328c_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_7bf1478ce
INFO 	2016-04-06 10:42:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 10:42:21 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 10:42:22 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 10:42:22 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 10:43:06 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 10:43:06 	[preliminary_checks] 	step time for completion (seconds) = 332

INFO 	2016-04-06 10:43:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 10:43:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 10:43:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 10:43:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 10:43:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 31

INFO 	2016-04-06 10:43:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 10:43:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 10:43:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 11:40:55 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 11:40:55 	[trim_reads_trimmomatic] 	reads after trimming = 160146152
INFO 	2016-04-06 11:41:15 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 11:41:15 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 11:41:15 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 11:41:15 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3454

INFO 	2016-04-06 11:41:21 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 11:41:21 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 11:41:21 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 11:41:21 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 11:41:21 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 11:41:21 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 18:29:34 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_7bf1478ce/logs/hg38_mmtv/a1e46328c_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-04-06 18:31:34 	[align_and_merge] 	step time for completion (seconds) = 24618

INFO 	2016-04-06 18:31:38 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 19:07:59 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.888940640922
INFO 	2016-04-06 19:07:59 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.861273419795
INFO 	2016-04-06 19:07:59 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 113947608
INFO 	2016-04-06 19:07:59 	[post_mapping_statistics] 	counts-to-distance slope = -1.2536386822
TIME 	2016-04-06 19:08:27 	[post_mapping_statistics] 	step time for completion (seconds) = 2209

INFO 	2016-04-06 19:08:48 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 19:08:48 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_7bf1478ce/results/hg38_mmtv/filtered_reads
