
INFO 	2016-04-14 11:06:22 	[preliminary_checks] 	752cd3e86_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:06:22 	[preliminary_checks] 	data for 752cd3e86_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a
INFO 	2016-04-14 11:07:02 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 11:07:04 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 11:07:05 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 11:07:05 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 11:07:07 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:07:30 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 11:07:30 	[preliminary_checks] 	step time for completion (seconds) = 70

INFO 	2016-04-14 11:07:34 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:07:34 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 11:07:34 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 11:07:53 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 11:07:53 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-14 11:07:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 11:07:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 11:07:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 11:19:02 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 11:19:02 	[trim_reads_trimmomatic] 	reads after trimming = 32401590
INFO 	2016-04-14 11:19:21 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:19:21 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:19:21 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:19:21 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 686

INFO 	2016-04-14 11:19:27 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 11:19:27 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 11:19:27 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:19:27 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:19:27 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:19:27 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:31:49 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/logs/hg38_mmtv/752cd3e86_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:32:02 	[align_and_merge] 	step time for completion (seconds) = 4360

INFO 	2016-04-14 12:32:07 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:39:52 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.858500647653
INFO 	2016-04-14 12:39:52 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.80411526101
INFO 	2016-04-14 12:39:52 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 21684071
INFO 	2016-04-14 12:39:52 	[post_mapping_statistics] 	counts-to-distance slope = -1.22724827125
TIME 	2016-04-14 12:39:58 	[post_mapping_statistics] 	step time for completion (seconds) = 471

INFO 	2016-04-14 12:40:03 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:40:03 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/752cd3e86_ac9f54f0a/results/hg38_mmtv/filtered_reads
