
INFO 	2016-04-14 11:06:30 	[preliminary_checks] 	8276ee842_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:06:30 	[preliminary_checks] 	data for 8276ee842_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a
INFO 	2016-04-14 11:07:15 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 11:07:16 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 11:07:18 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 11:07:18 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 11:07:20 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:07:52 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 11:07:52 	[preliminary_checks] 	step time for completion (seconds) = 83

INFO 	2016-04-14 11:07:56 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:07:56 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 11:07:56 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 11:08:15 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 11:08:15 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-14 11:08:17 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 11:08:17 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 11:08:17 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 11:19:41 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 11:19:41 	[trim_reads_trimmomatic] 	reads after trimming = 33675692
INFO 	2016-04-14 11:20:05 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:20:05 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/8276ee842_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:20:05 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:20:05 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 708

INFO 	2016-04-14 11:20:12 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 11:20:12 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 11:20:12 	[align_and_merge] 	restriction enzyme = DpnII
