
INFO 	2016-04-05 04:56:48 	[preliminary_checks] 	b1913e6c1_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 04:56:48 	[preliminary_checks] 	data for b1913e6c1_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf
INFO 	2016-04-05 05:00:16 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 05:00:17 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 05:00:18 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 05:00:18 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 05:00:42 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 05:00:42 	[preliminary_checks] 	step time for completion (seconds) = 235

INFO 	2016-04-05 05:00:45 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 05:00:45 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 05:00:45 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 05:01:17 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 05:01:17 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 34

INFO 	2016-04-05 05:01:18 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 05:01:18 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 05:01:18 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 05:49:16 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 05:49:16 	[trim_reads_trimmomatic] 	reads after trimming = 142733213
INFO 	2016-04-05 05:49:38 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 05:49:38 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 05:49:38 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 05:49:38 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2900

INFO 	2016-04-05 05:49:43 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 05:49:43 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 05:49:43 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 05:49:43 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 05:49:44 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 05:49:44 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 11:03:46 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/logs/hg38_mmtv/b1913e6c1_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 11:04:50 	[align_and_merge] 	step time for completion (seconds) = 18910

INFO 	2016-04-05 11:04:53 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
