
INFO 	2016-04-05 22:16:10 	[preliminary_checks] 	ad1a9f5b0_df6973bc7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:16:10 	[preliminary_checks] 	data for ad1a9f5b0_df6973bc7 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7
INFO 	2016-04-05 22:17:41 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 22:17:42 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 22:17:45 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 22:17:45 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 22:18:11 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 22:18:11 	[preliminary_checks] 	step time for completion (seconds) = 123

INFO 	2016-04-05 22:18:16 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 22:18:16 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 22:18:16 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 22:18:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 22:18:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-05 22:18:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 22:18:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 22:18:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 22:41:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 22:41:05 	[trim_reads_trimmomatic] 	reads after trimming = 59770863
INFO 	2016-04-05 22:41:26 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 22:41:26 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 22:41:26 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 22:41:26 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1365

INFO 	2016-04-05 22:41:32 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 22:41:32 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 22:41:32 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 22:41:32 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 22:41:32 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 22:41:32 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 01:09:04 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/logs/hg38_mmtv/ad1a9f5b0_df6973bc7_align_and_merge_paired_end.log
TIME 	2016-04-06 01:09:41 	[align_and_merge] 	step time for completion (seconds) = 8893

INFO 	2016-04-06 01:09:45 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 01:24:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.850432810381
INFO 	2016-04-06 01:24:21 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.823490251429
INFO 	2016-04-06 01:24:21 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 39071889
INFO 	2016-04-06 01:24:21 	[post_mapping_statistics] 	counts-to-distance slope = -1.19785337074
TIME 	2016-04-06 01:24:36 	[post_mapping_statistics] 	step time for completion (seconds) = 891

INFO 	2016-04-06 01:24:44 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 01:24:44 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 01:24:44 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 01:24:44 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 01:24:44 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 01:31:03 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 01:31:24 	[reads_filtering] 	step time for completion (seconds) = 406

INFO 	2016-04-06 01:31:25 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_df6973bc7/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 01:31:25 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 01:31:25 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 01:31:25 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
