
INFO 	2016-04-15 05:51:14 	[preliminary_checks] 	dc3a1e069_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 05:51:14 	[preliminary_checks] 	data for dc3a1e069_467f847a2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2
INFO 	2016-04-15 05:57:23 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 05:57:26 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 05:57:28 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 05:57:28 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 05:57:44 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 05:57:44 	[preliminary_checks] 	step time for completion (seconds) = 395

INFO 	2016-04-15 05:57:51 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 05:57:51 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 05:57:51 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 05:58:19 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 05:58:19 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 30

INFO 	2016-04-15 05:58:21 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 05:58:21 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 05:58:21 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 07:36:20 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 07:36:20 	[trim_reads_trimmomatic] 	reads after trimming = 270468095
INFO 	2016-04-15 07:37:14 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 07:37:14 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 07:37:14 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 07:37:15 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5934

INFO 	2016-04-15 07:37:33 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 07:37:33 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 07:37:33 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 07:37:33 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 07:37:33 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 07:37:33 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 20:27:46 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/logs/hg38_mmtv/dc3a1e069_467f847a2_align_and_merge_paired_end.log
TIME 	2016-04-15 20:32:38 	[align_and_merge] 	step time for completion (seconds) = 46520

INFO 	2016-04-15 20:33:07 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 21:41:35 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.88771340664
INFO 	2016-04-15 21:41:35 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.868921940682
INFO 	2016-04-15 21:41:35 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 198013529
INFO 	2016-04-15 21:41:35 	[post_mapping_statistics] 	counts-to-distance slope = -1.25865406935
TIME 	2016-04-15 21:41:48 	[post_mapping_statistics] 	step time for completion (seconds) = 4121

INFO 	2016-04-15 21:42:20 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 21:42:20 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 21:42:20 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 21:42:20 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_467f847a2/results/hg38_mmtv/excluded_reads/self_circle
