
INFO 	2016-05-03 12:32:06 	[preliminary_checks] 	e22e868a9_74a857597 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 12:32:06 	[preliminary_checks] 	data for e22e868a9_74a857597 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597
INFO 	2016-05-03 12:33:44 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 12:33:45 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-05-03 12:33:46 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-05-03 12:33:46 	[preliminary_checks] 	the latter will be kept
INFO 	2016-05-03 12:33:48 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 12:34:23 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 12:34:23 	[preliminary_checks] 	step time for completion (seconds) = 138

INFO 	2016-05-03 12:34:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-03 12:34:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 12:34:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-03 12:34:44 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 12:34:44 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-05-03 12:34:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 12:34:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 12:34:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 13:36:29 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 13:36:29 	[trim_reads_trimmomatic] 	reads after trimming = 113001841
INFO 	2016-05-03 13:36:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 13:36:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 13:36:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 13:36:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3721

INFO 	2016-05-03 13:36:52 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-03 19:31:03 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/logs/hg38_mmtv/e22e868a9_74a857597_align_and_merge_paired_end.log
TIME 	2016-05-03 19:33:14 	[align_and_merge] 	step time for completion (seconds) = 21386

INFO 	2016-05-03 19:33:37 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-03 20:04:58 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.02027565197
INFO 	2016-05-03 20:04:58 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.987577600616
INFO 	2016-05-03 20:04:58 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 80497719
INFO 	2016-05-03 20:04:58 	[post_mapping_statistics] 	counts-to-distance slope = -1.09734791952
TIME 	2016-05-03 20:05:04 	[post_mapping_statistics] 	step time for completion (seconds) = 1887

INFO 	2016-05-03 20:05:22 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-03 20:05:22 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/results/hg38_mmtv/filtered_reads
INFO 	2016-05-03 20:05:22 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-03 20:05:22 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-03 20:05:22 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-03 20:21:53 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-03 20:23:31 	[reads_filtering] 	step time for completion (seconds) = 1106

INFO 	2016-05-03 20:23:33 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-03 20:23:33 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-03 20:23:33 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-03 20:23:33 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-03 20:44:10 	[post_filtering_statistics] 	step time for completion (seconds) = 1237

INFO 	2016-05-03 20:44:20 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-05-03 21:17:42 	[index_contacts] 	step time for completion (seconds) = 2002

INFO 	2016-05-03 21:17:45 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 61 files...
TIME 	2016-05-03 22:37:11 	[map_to_bam] 	step time for completion (seconds) = 4766

INFO 	2016-05-03 22:37:21 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-04 09:35:15 	[downstream_bam] 	step time for completion (seconds) = 39475


INFO 	2016-05-04 09:35:17 	[pipeline] 	completed successfully
TIME 	2016-05-04 09:35:17 	[pipeline] 	total time for completion (seconds) = 75854

