
INFO 	2016-04-06 08:39:20 	[preliminary_checks] 	e6588f786_3e1166f1f found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 08:39:20 	[preliminary_checks] 	data for e6588f786_3e1166f1f will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f
INFO 	2016-04-06 08:41:23 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 08:41:24 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 08:41:26 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 08:41:26 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 08:42:01 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 08:42:01 	[preliminary_checks] 	step time for completion (seconds) = 164

INFO 	2016-04-06 08:42:04 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 08:42:04 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 08:42:04 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 08:42:23 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 08:42:23 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 08:42:25 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 08:42:25 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 08:42:25 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 09:11:17 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 09:11:17 	[trim_reads_trimmomatic] 	reads after trimming = 70821011
INFO 	2016-04-06 09:11:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 09:11:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 09:11:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 09:11:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1762

INFO 	2016-04-06 09:11:53 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 09:11:54 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 09:11:54 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 09:11:54 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 09:11:54 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 09:11:54 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 11:52:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_3e1166f1f/logs/mm10/e6588f786_3e1166f1f_align_and_merge_paired_end.log
TIME 	2016-04-06 11:52:50 	[align_and_merge] 	step time for completion (seconds) = 9662

INFO 	2016-04-06 11:53:16 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 12:05:10 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.695371829696
INFO 	2016-04-06 12:05:10 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.712435819364
