
INFO 	2016-04-05 17:56:05 	[preliminary_checks] 	66950b082_c478f1d09 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 17:56:05 	[preliminary_checks] 	data for 66950b082_c478f1d09 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09
INFO 	2016-04-05 18:00:32 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 18:00:34 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 18:00:35 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 18:00:35 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 18:01:23 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 18:01:23 	[preliminary_checks] 	step time for completion (seconds) = 320

INFO 	2016-04-05 18:01:25 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 18:01:25 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 18:01:25 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 18:01:46 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 18:01:46 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-05 18:01:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 18:01:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 18:01:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 19:10:37 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 19:10:37 	[trim_reads_trimmomatic] 	reads after trimming = 200716830
INFO 	2016-04-05 19:11:13 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 19:11:13 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 19:11:13 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 19:11:13 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4166

INFO 	2016-04-05 19:11:18 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 19:11:18 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 19:11:18 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 19:11:18 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 19:11:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 19:11:18 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 03:11:40 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/logs/hg38_mmtv/66950b082_c478f1d09_align_and_merge_paired_end.log
TIME 	2016-04-06 03:14:37 	[align_and_merge] 	step time for completion (seconds) = 29003

INFO 	2016-04-06 03:14:41 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 03:49:54 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.845985401423
INFO 	2016-04-06 03:49:54 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.834090145804
INFO 	2016-04-06 03:49:54 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 137838143
INFO 	2016-04-06 03:49:54 	[post_mapping_statistics] 	counts-to-distance slope = -1.20209446466
TIME 	2016-04-06 03:50:01 	[post_mapping_statistics] 	step time for completion (seconds) = 2120

INFO 	2016-04-06 03:50:22 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 03:50:22 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_c478f1d09/results/hg38_mmtv/filtered_reads
