
INFO 	2016-04-05 23:18:21 	[preliminary_checks] 	cb6b65581_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 23:18:21 	[preliminary_checks] 	data for cb6b65581_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb
INFO 	2016-04-05 23:24:44 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 23:24:46 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 23:24:47 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 23:24:47 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 23:25:12 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 23:25:12 	[preliminary_checks] 	step time for completion (seconds) = 413

INFO 	2016-04-05 23:25:15 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 23:25:15 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 23:25:15 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 23:25:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 23:25:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 25

INFO 	2016-04-05 23:25:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 23:25:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 23:25:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 00:46:18 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 00:46:18 	[trim_reads_trimmomatic] 	reads after trimming = 214257398
INFO 	2016-04-06 00:46:48 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 00:46:48 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_f34e98deb/fastqs_processed/trimmomatic/paired_end
