
INFO 	2016-04-13 14:27:09 	[preliminary_checks] 	4369ff754_53fa618d2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 14:27:09 	[preliminary_checks] 	data for 4369ff754_53fa618d2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2
INFO 	2016-04-13 14:28:09 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 14:28:11 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 14:28:12 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 14:28:12 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-13 14:28:37 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 14:28:37 	[preliminary_checks] 	step time for completion (seconds) = 90

INFO 	2016-04-13 14:28:40 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 14:28:40 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 14:28:40 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-13 14:29:02 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 14:29:02 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-13 14:29:04 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 14:29:04 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 14:29:04 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 14:42:15 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 14:42:15 	[trim_reads_trimmomatic] 	reads after trimming = 33042871
INFO 	2016-04-13 14:42:35 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 14:42:35 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 14:42:35 	[trim_reads_trimmomatic] 	unpaired reads are deleted
