
INFO 	2016-04-06 06:52:11 	[preliminary_checks] 	e6588f786_56e7062b9 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:52:11 	[preliminary_checks] 	data for e6588f786_56e7062b9 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9
INFO 	2016-04-06 06:54:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 06:54:22 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:54:23 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:54:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:54:55 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 06:54:55 	[preliminary_checks] 	step time for completion (seconds) = 166

INFO 	2016-04-06 06:55:02 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:55:02 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 06:55:02 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 06:55:22 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 06:55:22 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-06 06:55:24 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 06:55:24 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 06:55:24 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 07:23:44 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
