
INFO 	2016-04-06 09:42:32 	[preliminary_checks] 	858b56753_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 09:42:32 	[preliminary_checks] 	data for 858b56753_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce
INFO 	2016-04-06 09:46:24 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 09:46:26 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 09:46:27 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 09:46:28 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 09:46:41 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 09:46:41 	[preliminary_checks] 	step time for completion (seconds) = 251

INFO 	2016-04-06 09:46:44 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 09:46:44 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 09:46:44 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 09:47:08 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 09:47:08 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-06 09:47:11 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 09:47:11 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 09:47:11 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 11:16:26 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 11:16:26 	[trim_reads_trimmomatic] 	reads after trimming = 243990719
INFO 	2016-04-06 11:16:51 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 11:16:51 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 11:16:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 11:16:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5380

INFO 	2016-04-06 11:16:58 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 11:16:58 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 11:16:58 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 11:16:58 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 11:16:58 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 11:16:58 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 20:51:08 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/logs/hg38_mmtv/858b56753_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-04-06 20:54:08 	[align_and_merge] 	step time for completion (seconds) = 34635

INFO 	2016-04-06 20:54:25 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 21:41:15 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.900137873687
INFO 	2016-04-06 21:41:15 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.876113361509
INFO 	2016-04-06 21:41:15 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 176100562
INFO 	2016-04-06 21:41:15 	[post_mapping_statistics] 	counts-to-distance slope = -0.0771296307059
TIME 	2016-04-06 21:41:23 	[post_mapping_statistics] 	step time for completion (seconds) = 2818

INFO 	2016-04-06 21:41:52 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 21:41:52 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 21:41:52 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 21:41:52 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 21:41:52 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 22:08:45 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 22:10:38 	[reads_filtering] 	step time for completion (seconds) = 1752

INFO 	2016-04-06 22:10:40 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 22:10:40 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 22:10:40 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 22:10:40 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 22:38:46 	[post_filtering_statistics] 	step time for completion (seconds) = 1686

