
INFO 	2016-04-08 16:23:38 	[preliminary_checks] 	b742f3789_181aff666 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:23:38 	[preliminary_checks] 	data for b742f3789_181aff666 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666
INFO 	2016-04-08 16:25:04 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:25:10 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:25:15 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:25:15 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:25:39 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:25:39 	[preliminary_checks] 	step time for completion (seconds) = 123

INFO 	2016-04-08 16:25:47 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:25:47 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:25:47 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:26:19 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:26:19 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 37

INFO 	2016-04-08 16:26:23 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:26:23 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:26:23 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
