
INFO 	2016-04-08 16:25:33 	[preliminary_checks] 	b742f3789_85070db90 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:25:33 	[preliminary_checks] 	data for b742f3789_85070db90 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90
INFO 	2016-04-08 16:26:48 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:26:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:26:52 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:26:52 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:27:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:27:08 	[preliminary_checks] 	step time for completion (seconds) = 100

INFO 	2016-04-08 16:27:14 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:27:14 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:27:14 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:27:40 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:27:40 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 30

INFO 	2016-04-08 16:27:42 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:27:42 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:27:42 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:50:36 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:50:37 	[trim_reads_trimmomatic] 	reads after trimming = 66303885
INFO 	2016-04-08 16:51:45 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:51:45 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:51:45 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:51:46 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1444

INFO 	2016-04-08 16:52:06 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:52:06 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:52:06 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:52:06 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:52:07 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:52:07 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 19:31:38 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/logs/mm10/b742f3789_85070db90_align_and_merge_paired_end.log
TIME 	2016-04-08 19:32:45 	[align_and_merge] 	step time for completion (seconds) = 9655

INFO 	2016-04-08 19:33:00 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 19:46:57 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.837652484466
INFO 	2016-04-08 19:46:57 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.815320444647
