
INFO 	2016-04-14 11:06:42 	[preliminary_checks] 	b742f3789_c02e98c58 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:06:42 	[preliminary_checks] 	data for b742f3789_c02e98c58 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58
INFO 	2016-04-14 11:08:01 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 11:08:03 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 11:08:05 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 11:08:05 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 11:08:28 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 11:08:28 	[preliminary_checks] 	step time for completion (seconds) = 108

INFO 	2016-04-14 11:08:32 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:08:32 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 11:08:32 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 11:08:52 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 11:08:52 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-14 11:08:54 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 11:08:54 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 11:08:54 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 11:37:36 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 11:37:36 	[trim_reads_trimmomatic] 	reads after trimming = 82952698
INFO 	2016-04-14 11:37:58 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:37:58 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:37:58 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:37:58 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1744

INFO 	2016-04-14 11:38:06 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 11:38:06 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 11:38:06 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:38:06 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:38:06 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 11:38:06 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 14:34:41 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/logs/mm10/b742f3789_c02e98c58_align_and_merge_paired_end.log
TIME 	2016-04-14 14:35:24 	[align_and_merge] 	step time for completion (seconds) = 10644

INFO 	2016-04-14 14:35:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 14:52:12 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.828808642246
INFO 	2016-04-14 14:52:12 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.799989350557
INFO 	2016-04-14 14:52:12 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 52716329
INFO 	2016-04-14 14:52:12 	[post_mapping_statistics] 	counts-to-distance slope = -1.13662948539
TIME 	2016-04-14 14:52:19 	[post_mapping_statistics] 	step time for completion (seconds) = 1011

INFO 	2016-04-14 14:52:29 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 14:52:29 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/results/mm10/filtered_reads
