
INFO 	2016-04-05 15:15:07 	[preliminary_checks] 	b1913e6c1_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 15:15:07 	[preliminary_checks] 	data for b1913e6c1_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf
INFO 	2016-04-05 15:18:52 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 15:18:53 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:18:55 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:18:55 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 15:19:24 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 15:19:24 	[preliminary_checks] 	step time for completion (seconds) = 258

INFO 	2016-04-05 15:19:27 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 15:19:27 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 15:19:27 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 15:19:44 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 15:19:44 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 18

INFO 	2016-04-05 15:19:45 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 15:19:45 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 15:19:45 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 16:09:02 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 16:09:02 	[trim_reads_trimmomatic] 	reads after trimming = 142733213
INFO 	2016-04-05 16:09:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 16:09:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 16:09:23 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 16:09:23 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2978

INFO 	2016-04-05 16:09:30 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 16:09:30 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 16:09:30 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 16:09:30 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 16:09:30 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 16:09:30 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 21:34:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/logs/hg38_mmtv/b1913e6c1_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 21:35:28 	[align_and_merge] 	step time for completion (seconds) = 19563

INFO 	2016-04-05 21:35:33 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 22:00:31 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.876024930511
INFO 	2016-04-05 22:00:31 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.753012096771
INFO 	2016-04-05 22:00:31 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 90417311
INFO 	2016-04-05 22:00:31 	[post_mapping_statistics] 	counts-to-distance slope = -1.22889067569
TIME 	2016-04-05 22:00:40 	[post_mapping_statistics] 	step time for completion (seconds) = 1507

INFO 	2016-04-05 22:00:54 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 22:00:54 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 22:00:54 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
