
INFO 	2016-04-06 04:56:59 	[preliminary_checks] 	d7fd92b4c_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 04:56:59 	[preliminary_checks] 	data for d7fd92b4c_95a8cd511 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511
INFO 	2016-04-06 05:03:25 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 05:03:27 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 05:03:28 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 05:03:28 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 05:03:55 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 05:03:55 	[preliminary_checks] 	step time for completion (seconds) = 417

INFO 	2016-04-06 05:03:58 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 05:03:58 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 05:03:58 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 05:04:25 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 05:04:25 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 28

INFO 	2016-04-06 05:04:27 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 05:04:27 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 05:04:27 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 06:25:46 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 06:25:46 	[trim_reads_trimmomatic] 	reads after trimming = 227323913
INFO 	2016-04-06 06:26:05 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 06:26:05 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 06:26:05 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 06:26:06 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4899

INFO 	2016-04-06 06:26:11 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 06:26:11 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 06:26:11 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:26:11 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 06:26:11 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
