
INFO 	2016-04-06 04:35:46 	[preliminary_checks] 	ab7537068_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 04:35:46 	[preliminary_checks] 	data for ab7537068_95a8cd511 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511
INFO 	2016-04-06 04:40:36 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 04:40:37 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 04:40:38 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 04:40:38 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 04:41:01 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 04:41:01 	[preliminary_checks] 	step time for completion (seconds) = 316

INFO 	2016-04-06 04:41:04 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 04:41:04 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 04:41:04 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 04:41:24 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 04:41:24 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 04:41:26 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 04:41:26 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 04:41:26 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 06:10:17 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 06:10:17 	[trim_reads_trimmomatic] 	reads after trimming = 243547731
INFO 	2016-04-06 06:10:35 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 06:10:35 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 06:10:35 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 06:10:35 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5349

INFO 	2016-04-06 06:10:40 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 06:10:40 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 06:10:40 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:10:40 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 06:10:40 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 06:10:40 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 17:23:59 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/logs/hg38_mmtv/ab7537068_95a8cd511_align_and_merge_paired_end.log
TIME 	2016-04-06 17:28:19 	[align_and_merge] 	step time for completion (seconds) = 40663

INFO 	2016-04-06 17:28:26 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 18:19:52 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.895367816011
INFO 	2016-04-06 18:19:52 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.860153503134
INFO 	2016-04-06 18:19:52 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 173428743
INFO 	2016-04-06 18:19:52 	[post_mapping_statistics] 	counts-to-distance slope = -1.25046333475
TIME 	2016-04-06 18:20:02 	[post_mapping_statistics] 	step time for completion (seconds) = 3097

INFO 	2016-04-06 18:20:30 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 18:20:30 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 18:20:30 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 18:20:30 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 18:20:30 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 18:47:57 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 18:51:00 	[reads_filtering] 	step time for completion (seconds) = 1856

INFO 	2016-04-06 18:51:08 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 18:51:08 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
