
INFO 	2016-04-06 12:03:04 	[preliminary_checks] 	e4aa8d54f_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 12:03:04 	[preliminary_checks] 	data for e4aa8d54f_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce
INFO 	2016-04-06 12:07:32 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 12:07:34 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 12:07:36 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 12:07:36 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 12:08:12 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 12:08:12 	[preliminary_checks] 	step time for completion (seconds) = 310

INFO 	2016-04-06 12:08:15 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 12:08:15 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 12:08:15 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 12:08:36 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 12:08:36 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-06 12:08:37 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 12:08:37 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 12:08:37 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 13:18:49 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 13:18:49 	[trim_reads_trimmomatic] 	reads after trimming = 192592730
INFO 	2016-04-06 13:19:14 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 13:19:14 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 13:19:14 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 13:19:14 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4237

INFO 	2016-04-06 13:19:22 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 13:19:22 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 13:19:22 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 13:19:22 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 13:19:22 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 13:19:22 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 21:42:27 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/logs/hg38_mmtv/e4aa8d54f_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-04-06 21:44:40 	[align_and_merge] 	step time for completion (seconds) = 30324

INFO 	2016-04-06 21:44:55 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 22:23:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.891995352057
INFO 	2016-04-06 22:23:21 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.8681405835
INFO 	2016-04-06 22:23:21 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 137946741
INFO 	2016-04-06 22:23:21 	[post_mapping_statistics] 	counts-to-distance slope = -1.25267327804
TIME 	2016-04-06 22:23:27 	[post_mapping_statistics] 	step time for completion (seconds) = 2312

INFO 	2016-04-06 22:23:49 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 22:23:49 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 22:23:49 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 22:23:49 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 22:23:49 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 22:44:03 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 22:46:22 	[reads_filtering] 	step time for completion (seconds) = 1374

INFO 	2016-04-06 22:46:24 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 22:46:24 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 22:46:24 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 22:46:24 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 23:12:09 	[post_filtering_statistics] 	step time for completion (seconds) = 1544

INFO 	2016-04-06 23:12:11 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 23:57:49 	[index_contacts] 	step time for completion (seconds) = 2738

INFO 	2016-04-06 23:57:51 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 78 files...
TIME 	2016-04-07 01:39:56 	[map_to_bam] 	step time for completion (seconds) = 6125

INFO 	2016-04-07 01:39:59 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 13:33:00 	[downstream_bam] 	step time for completion (seconds) = 42781

INFO 	2016-04-07 13:33:01 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 13:33:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/fastqs_processed
INFO 	2016-04-07 13:33:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_7bf1478ce/mapped_reads
TIME 	2016-04-07 13:33:02 	[clean_up] 	step time for completion (seconds) = 1


