
INFO 	2016-04-05 14:37:53 	[preliminary_checks] 	5733f3071_2a3b69a85 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 14:37:53 	[preliminary_checks] 	data for 5733f3071_2a3b69a85 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85
INFO 	2016-04-05 14:41:16 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 14:41:18 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 14:41:19 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 14:41:19 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 14:41:45 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 14:41:45 	[preliminary_checks] 	step time for completion (seconds) = 233

INFO 	2016-04-05 14:41:48 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 14:41:48 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 14:41:48 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 14:42:06 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 14:42:06 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-05 14:42:08 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 14:42:08 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 14:42:08 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 15:26:39 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
