
INFO 	2016-04-08 16:23:32 	[preliminary_checks] 	b7fa2d8db_98bc1df37 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:23:32 	[preliminary_checks] 	data for b7fa2d8db_98bc1df37 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37
INFO 	2016-04-08 16:24:28 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:24:33 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:24:35 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:24:35 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:25:11 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:25:11 	[preliminary_checks] 	step time for completion (seconds) = 102

INFO 	2016-04-08 16:25:18 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:25:18 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:25:18 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:25:43 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:25:43 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 27

INFO 	2016-04-08 16:25:46 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:25:46 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:25:46 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:44:39 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:44:39 	[trim_reads_trimmomatic] 	reads after trimming = 52511559
INFO 	2016-04-08 16:45:15 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:45:15 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:45:15 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:45:16 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1170

INFO 	2016-04-08 16:45:33 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:45:33 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:45:33 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:45:33 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:45:34 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:45:34 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 20:33:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/logs/mm10/b7fa2d8db_98bc1df37_align_and_merge_paired_end.log
TIME 	2016-04-08 20:34:49 	[align_and_merge] 	step time for completion (seconds) = 13771

INFO 	2016-04-08 20:35:00 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 20:46:15 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.843983702712
INFO 	2016-04-08 20:46:15 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.815224377551
INFO 	2016-04-08 20:46:15 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 33675569
INFO 	2016-04-08 20:46:15 	[post_mapping_statistics] 	counts-to-distance slope = -1.17277771143
TIME 	2016-04-08 20:46:41 	[post_mapping_statistics] 	step time for completion (seconds) = 701

INFO 	2016-04-08 20:46:49 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 20:46:49 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/results/mm10/filtered_reads
INFO 	2016-04-08 20:46:49 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 20:46:49 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 20:46:49 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 20:52:45 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 20:53:52 	[reads_filtering] 	step time for completion (seconds) = 428

INFO 	2016-04-08 20:54:03 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 20:54:03 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 20:54:03 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 20:54:03 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 21:01:35 	[post_filtering_statistics] 	step time for completion (seconds) = 452

INFO 	2016-04-08 21:01:37 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 21:15:30 	[index_contacts] 	step time for completion (seconds) = 833

INFO 	2016-04-08 21:15:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 20 files...
TIME 	2016-04-08 21:43:30 	[map_to_bam] 	step time for completion (seconds) = 1659

INFO 	2016-04-08 21:43:35 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0307/job_scripts/2168747: line 747:  2007 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 05:42:32 	[downstream_bam] 	step time for completion (seconds) = 28737

INFO 	2016-04-09 05:42:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 05:42:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/fastqs_processed
INFO 	2016-04-09 05:42:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/mapped_reads
TIME 	2016-04-09 05:42:38 	[clean_up] 	step time for completion (seconds) = 4


