
INFO 	2016-04-14 02:57:24 	[preliminary_checks] 	e22e868a9_d222de8ea found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 02:57:24 	[preliminary_checks] 	data for e22e868a9_d222de8ea will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea
INFO 	2016-04-14 02:58:08 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-14 02:58:10 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
WARN 	2016-04-14 02:58:12 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 02:58:12 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 02:58:14 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 02:58:40 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 02:58:40 	[preliminary_checks] 	step time for completion (seconds) = 78

INFO 	2016-04-14 02:58:44 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 02:58:44 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 02:58:44 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 02:59:04 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 02:59:04 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-14 02:59:06 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 02:59:06 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 02:59:06 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 03:09:48 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 03:09:48 	[trim_reads_trimmomatic] 	reads after trimming = 31352004
INFO 	2016-04-14 03:10:11 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 03:10:11 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 03:10:11 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 03:10:11 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 665

INFO 	2016-04-14 03:10:18 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 03:10:18 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 03:10:18 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 03:10:18 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 03:10:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 03:10:18 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 04:17:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/logs/hg38_mmtv/e22e868a9_d222de8ea_align_and_merge_paired_end.log
TIME 	2016-04-14 04:18:11 	[align_and_merge] 	step time for completion (seconds) = 4078

INFO 	2016-04-14 04:18:17 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 04:27:12 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.870574557212
INFO 	2016-04-14 04:27:12 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.847035583435
INFO 	2016-04-14 04:27:12 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 22233257
INFO 	2016-04-14 04:27:12 	[post_mapping_statistics] 	counts-to-distance slope = -1.09874679815
TIME 	2016-04-14 04:27:20 	[post_mapping_statistics] 	step time for completion (seconds) = 543

INFO 	2016-04-14 04:27:25 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 04:27:25 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 04:27:25 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 04:27:25 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 04:27:25 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 04:31:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 04:31:33 	[reads_filtering] 	step time for completion (seconds) = 251

INFO 	2016-04-14 04:31:35 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 04:31:35 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 04:31:35 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 04:31:35 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 04:37:10 	[post_filtering_statistics] 	step time for completion (seconds) = 335

INFO 	2016-04-14 04:37:22 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 04:44:36 	[index_contacts] 	step time for completion (seconds) = 434

INFO 	2016-04-14 04:44:45 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 13 files...
TIME 	2016-04-14 05:01:10 	[map_to_bam] 	step time for completion (seconds) = 985

INFO 	2016-04-14 05:01:13 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0313/job_scripts/2269700: line 747: 42308 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 10:19:12 	[downstream_bam] 	step time for completion (seconds) = 19079

INFO 	2016-04-14 10:19:18 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 10:19:18 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/fastqs_processed
INFO 	2016-04-14 10:19:18 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/mapped_reads
TIME 	2016-04-14 10:19:22 	[clean_up] 	step time for completion (seconds) = 4


