
INFO 	2016-04-08 10:07:33 	[preliminary_checks] 	a7c643d27_ed0f2b6ec found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 10:07:33 	[preliminary_checks] 	data for a7c643d27_ed0f2b6ec will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec
INFO 	2016-04-08 10:13:43 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:13:44 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:13:46 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:13:46 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:14:05 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:14:05 	[preliminary_checks] 	step time for completion (seconds) = 393

INFO 	2016-04-08 10:14:08 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:14:08 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:14:08 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:14:27 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:14:27 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:14:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:14:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:14:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:15:12 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
