
INFO 	2016-04-14 23:24:30 	[preliminary_checks] 	cedbf7bbd_2f12c35de found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 23:24:30 	[preliminary_checks] 	data for cedbf7bbd_2f12c35de will be stored at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de
INFO 	2016-04-14 23:28:26 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 23:28:28 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 23:28:29 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 23:28:29 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 23:28:58 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 23:28:58 	[preliminary_checks] 	step time for completion (seconds) = 270

INFO 	2016-04-14 23:29:00 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 23:29:00 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 23:29:00 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 23:29:19 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 23:29:19 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-14 23:29:20 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 23:29:20 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 23:29:20 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 00:48:22 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 00:48:22 	[trim_reads_trimmomatic] 	reads after trimming = 222663986
INFO 	2016-04-15 00:48:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 00:48:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 00:48:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 00:48:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4767

INFO 	2016-04-15 00:48:52 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 00:48:52 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 00:48:52 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 00:48:52 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 00:48:52 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 00:48:52 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 10:09:15 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/logs/hg38_mmtv/cedbf7bbd_2f12c35de_align_and_merge_paired_end.log
TIME 	2016-04-15 10:11:28 	[align_and_merge] 	step time for completion (seconds) = 33760

INFO 	2016-04-15 10:11:47 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 10:47:00 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.876829345002
INFO 	2016-04-15 10:47:00 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.666674358376
INFO 	2016-04-15 10:47:00 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 124765458
INFO 	2016-04-15 10:47:00 	[post_mapping_statistics] 	counts-to-distance slope = -1.27115424772
TIME 	2016-04-15 10:47:07 	[post_mapping_statistics] 	step time for completion (seconds) = 2120

INFO 	2016-04-15 10:47:27 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 10:47:27 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 10:47:27 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 10:47:27 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 10:47:27 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 11:05:44 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 11:07:15 	[reads_filtering] 	step time for completion (seconds) = 1206

INFO 	2016-04-15 11:07:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 11:07:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 11:07:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 11:07:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 11:29:16 	[post_filtering_statistics] 	step time for completion (seconds) = 1319

INFO 	2016-04-15 11:29:31 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 12:08:33 	[index_contacts] 	step time for completion (seconds) = 2342

INFO 	2016-04-15 12:08:42 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 68 files...
TIME 	2016-04-15 13:37:39 	[map_to_bam] 	step time for completion (seconds) = 5337

INFO 	2016-04-15 13:37:53 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 02:03:17 	[downstream_bam] 	step time for completion (seconds) = 44724

INFO 	2016-04-16 02:03:19 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 02:03:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/fastqs_processed
INFO 	2016-04-16 02:03:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cedbf7bbd_2f12c35de/mapped_reads
TIME 	2016-04-16 02:03:19 	[clean_up] 	step time for completion (seconds) = 0


