
INFO 	2016-04-14 04:12:05 	[preliminary_checks] 	8d2ac542f_d222de8ea found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 04:12:05 	[preliminary_checks] 	data for 8d2ac542f_d222de8ea will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea
INFO 	2016-04-14 04:12:38 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-14 04:12:39 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
WARN 	2016-04-14 04:12:40 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 04:12:40 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 04:12:42 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 04:12:54 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 04:12:54 	[preliminary_checks] 	step time for completion (seconds) = 50

INFO 	2016-04-14 04:12:57 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-04-14 04:12:57 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 04:12:57 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 04:13:14 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 04:13:14 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-04-14 04:13:16 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 04:13:16 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 04:13:16 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 04:22:32 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 04:22:32 	[trim_reads_trimmomatic] 	reads after trimming = 25784500
INFO 	2016-04-14 04:22:50 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 04:22:50 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 04:22:50 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 04:22:50 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 574

INFO 	2016-04-14 04:22:56 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 04:22:56 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 04:22:56 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-04-14 04:22:56 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 04:22:56 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 04:22:56 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 05:23:43 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/logs/mm10/8d2ac542f_d222de8ea_align_and_merge_paired_end.log
TIME 	2016-04-14 05:24:02 	[align_and_merge] 	step time for completion (seconds) = 3670

