
INFO 	2016-04-08 09:56:47 	[preliminary_checks] 	b742f3789_8dba31991 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 09:56:48 	[preliminary_checks] 	data for b742f3789_8dba31991 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991
INFO 	2016-04-08 10:02:12 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:02:14 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:02:15 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:02:15 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:02:31 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:02:31 	[preliminary_checks] 	step time for completion (seconds) = 345

INFO 	2016-04-08 10:02:34 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:02:34 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:02:34 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:02:53 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:02:53 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:02:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:02:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:02:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:09:22 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:09:22 	[trim_reads_trimmomatic] 	reads after trimming = 349163336
INFO 	2016-04-08 12:09:50 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:09:50 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:09:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:09:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7616

INFO 	2016-04-08 12:09:57 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:09:57 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:09:57 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:09:57 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:09:57 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:09:57 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:08:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/logs/mm10/b742f3789_8dba31991_align_and_merge_paired_end.log
TIME 	2016-04-09 02:12:38 	[align_and_merge] 	step time for completion (seconds) = 50566

INFO 	2016-04-09 02:13:06 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 03:19:35 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.832037909043
INFO 	2016-04-09 03:19:35 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.82618516109
INFO 	2016-04-09 03:19:35 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 232438660
INFO 	2016-04-09 03:19:35 	[post_mapping_statistics] 	counts-to-distance slope = -1.00914884173
TIME 	2016-04-09 03:19:51 	[post_mapping_statistics] 	step time for completion (seconds) = 4005

INFO 	2016-04-09 03:20:28 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 03:20:28 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/results/mm10/filtered_reads
INFO 	2016-04-09 03:20:28 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 03:20:28 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 03:20:28 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 03:54:37 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 03:58:41 	[reads_filtering] 	step time for completion (seconds) = 2329

